labels,posts,,
Hate,Yaa Baatee Yaa Baatee Jarreen Walitti Kaatee Jedhe Wallisaan Keenya Tokko   Warri ABIN hiriira mormii waamee jira Baga waaman Warri humnaan aangoorra jiru Hiriira kana akka Oromoo sanitti humnaan cabsuudhaaf yaala moo ni hayyama wanti jedhu akkuma jirutti tahee hariiroon sheleqqannaa Abiyyiif gareen kun qabu asumarratti raawwachuun isaa waan guddaadha ABIN faan warra aangoon Abiy akka dheeratuuf deeggarsa kennan keessaa adda dureedha   Jarri kun hamma fedhe sirbaniifis eessanuu akka isa hin geenye irra deddeebinee itti waywaachaa turre Lakkii taai hoggansa Oromoo facaastee kophaa kee warra kana waliin nurratti hin qabsaainii taai jennaan dhagahuu dide Hara paartiwwan isaanii hundi deeggarsa Abiy irraa gara mormiitti ceehanii jiru   Oromoo duraa facaasudhaaf naatoo tokko malee hidhaaf ajjeesaa jira,,
Hate,diqaalaa ilma mallasaa pooppoo,,
Hate,Haree gabrichaa gara agabuu us daldala si caletuu jiraa qorqoro,,
Hate,Kijibdoota ummaata ngy kan loon tiikfaatu fi buuna isaa guuratu ajjeftan shane jettuu  Shane ijaanu hin argitan,,
Hate,Dhuguma osoo nama taatee dua Amaaraa Gullisoof boossee dua Oromoo Mattakal irratti hin kolfitu turte ilma diqaalaa kan sammuun furrii waan taateef maleeHamman gubadhe gubadhu dhiiga lammiikoo akka bishaaniitti dhugdee,,
Hate,Yaa fotoo namaa hin tahin  dura nama tahii dubadhu yaa xurunba,,
Hate,tigireen lafa maalii qabdi dhagaa isheetti haa galtu,,
Free, Qabsoo Oromoo keessatti garuu seenaatu waggaa 30 booda ofirra deebie,,
Free, Osoo dhugaatti aangoo qabaatanii fi haqaaf dhaabbatanii gaafa hidhamtoonni siyaasaa dhukkubsatanii waldhaansa dhorkaman qaama kana godhe seeratti dhiheessanii adabu ture,,
Hate,Harargee lixaa jechuu malee bakka tahellee hin dubbattan sobduu,,
Free,warri Faraanjoota kana osoo argaanii murni xiqqoon kun qabeenya biyya saamuun waraanaaf akka of qopheessaanii ofiif waraanatti seenaan hubaachiisuun Maaf dadhaabaamee ,,
Free,"Finfinnee, Gurraandhala 12, 2normal12 (FBC) ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Preezdaanti Saahlawarq Zawdee Ministeera Daldala Alaa fi Neezarlaandis Siigriid Kaag waliin mariÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢taniiru.",,
Free, Akkanni jibba isaa callisaan ibsaafii jiru hin galleef,,
Hate,Yaa Nuuyi OsooNuufGalee  Ormi hattuu akka Geetaachoo Aseffaatiif hiriira deegarsa bahanii gaachana tahaniif,,
Free,Naannoon Tigiraayi namoota federaalaa kaafaman muude,,
Hate,Ani warruma namittii kana harrabsanittin kolfaam  Sababiinsaas harreetti nami haaru amma harreettiiyyuu waan gau natti hin fakkaatu,,
Hate,Saree kana ilmma diqalla sinrgadhaa yorabi jedhee gatin kee inaffa setee,,
Free, Hojii Gaggeessaa olaanaan korporeeshiinichaas ijaarsi paarkiichaa xumurarratti waan argamuuf paarkichi gara hojiitti akka galuuf deeggarsi qaamoolee hundaafi walitti dhiyaatani hojjachuun barbaachisaadha jedhan,,
Hate,Kan du aan oromoodha dhabbaatichi ni sobadhaabataa amaaraattii,,
Hate,ijjoollee oromoo hidhataa shanee qabu jetee dhalaa nama baketii habisaa jiritaa garuu gaafa oromon qabsayee wayyanee biyaati galchee mana hidhaa jiritaa haraa garuu situu oromoo lafaa irraa fixee kanafa oromoo wali ararama hin qabduu,,
Hate,Hatuu akka keti kana osoo jiruu hiyeesafi miskkina nama dafqaa isaatin buluu qabdani itti roristuu qondaltoni Ethiopian hannan bekamtuu duruuma,,
Hate,Sobdu namaa manaa amantarra kan egnaaatii dhugummaa lubbumma oromiyatti ati hatu mittioromia bank kan enyutti,,
Hate,Kijibduu sindutanituu harree duteenii oshee hin jedhaanii abiyyii du,,
Free,"Waldaan Wallaansa Daa'imaan Biraazil ibsa baaseen, ''karaan saayinsiin ulfa shamarranii hirisuuf mirkanaa'ee kan qofaa barnoota quunnamtii saalaa gahaafi tajaajilawwan fayyaa akka argatan taasisuun'' jedha.",,
Hate,Waan naa Ajaibee keessa bara   kaan keessa nama  nama nuu hayyuu keenyaa jennee uffuu duurraatii lalutuu nuu jalaa tokko ajjeessiin tokko hidhaan gaarruu ittii annsudhaan namotaa nutii dhugaa dubbataaf  egaa turree gaddii bahee yero kaan jedhu shame mo Habshaan qorrochaa wayyitiin  lammaaf dhugumaa osso ittii yaddiin dubbatiin dhigaa Haccalluu irraa qabenyii ummataa hin caalluu garruu yero dhugaa ija jammassitiin dhugaa Haccalluu dhokkosuuf demmetaan rakko mala issiin jedha lataa rabbiitii hoo mala himmuu heddaan boruu lataa motummaa uffii issatii haccalluu ajjeessee ragaa Sobatiin nama hidhuu  wajiin yero dhabataan  ittii yaddaa mee uffii ilalaa,,
Free,hoggansa oromoo,,
Free,Gaggeessaa sirrii fi yeroon barbaaddu Tuffii tokko malee hojiin akka tuffatamuu hin qabne nutti agarsiisaa jira Go ahead,,
Hate,Dhisaa  kijibaa  keessaan  Lamshoftu  OPD  qabatanii  uamataa  hin  golinaa  kan  umataa  rasa  jiruu  isinumaa  OPD  dhaa  gadii  butanii  rakkoo  umataa  keessaanii  Annaa  hamaa  gandatti  qamaan  buhatti  gafaadhaa  isaa  jimma  kaftan  wolagaan  hin  geesinaa  kan  Harargee   bahaa  sabataa   fidanii   umataa  hin  bujaajesinaa  Lafa  isinittii  dhihee,,
Free, Sirna qabsoo Maammoon Taaddee Jaarraan Waaqoon Baaroon,,
Free,Jawar fi Abbichuun nuuf tokko dhaIsaan lamaan gidduu galtanii tokko faarsitanii isa tokko immoo abaaruu fi arrabsuun ofumaa taajjabbii keessa of galchuudhaatii dhiisaaKorbeettiin ijaan wal beektiLamaanuu mahaandisoota qabsoo ummata OromootiAbbaan dubbiin ani irra deddeebiee dubbataa jiru kun galeef yaada koo hubateera,,
Free,daawwate,,
Hate,kfon paartii buuura uummataa hin qabne hirkatuu miti ,,
Free,"Dabalataan ibsi Waldaa Kaatolikii kun akka jedhutti nagaan waggoota dheeraatiifi hawwaa turreefi itti dhama'aa ture hariiroon Itoophiyaafi Ertiraa gidduu jiru jijjiiramee, saboonni biyyoota lamaanii bilisaan yeroo wal keessa deemuu danda'anitti kun uumamuun Waldaa Kaatolikii Itoophiyaafi Ertiraa hedduu kan gaddisiisedha.",,
Hate,Kolkolee nafixanyaa usi jedhi badaa ilma zinaa,,
Free,"Dooktar Abiy haaluma kanaan gaaffiin Oromoo ammas kan deebiâ€™e akkuma jiru, fuuldurattis paartiin Badhaadhinaa gaaffii Oromoo deebisuuf xiyyeeffannaa addaatiin hojjeta jedhan",,
Hate,Ana kan na dhibee warri pp kuni akka ijoollee gaalamootaan guddisteeti odeessiti maal odeessitii hin albaatim garuu warri OBS kuni maal haa odeessituuf kana afeertanii  Moo isinis gara  kamiiti deemsi kuni  Bosonaa qaxalee mucaa jalduu yeroo darbe keessa ijoolle abbaa garaa caalaaf fayyisaa jedhan sana bira geesseeta  Akkas taanaan dafii xamaqami malee baduuf jirta goofare ilmaa,,
Free,Meeshaaleen toÃ¢â‚¬â„¢ataman kunneenis meeshaalee elektirooniksiiwaraanaa uffataanyaataamiidhaginaaqorichootamaallaqaa biyyoota garagaraa dabalatee kan biroon jiraachuus himameera,,
Hate,yaa Alimtoota keenya hidhataan qawwee namatti dhukaasee nama ajjeesetu itti gaafatamummaa fudhachuu qaba moo Ashagree qaamota kanaaf midiyaa fi bajata ramadee waraana nutti bobbaasetu gaafatamuu qaba akka kootitti garuu ergamtuu osoo hin tain qaama ajajaa kennetu itti gaafatamuu qaban jedha,,
Hate,Uummanni Gaaffii Yoo Qabaate Jettaniire Yaa Warra amaaraa Hiree ummata Kanaa Barachuu Dadhabdan Mitiire Wayyaanee Irraa Humnaan,,
Free,"Obbo Jawaar Mohammad, Mohaammad Adamoo fi Arfaasee ",,
Free,kan sodaatuu qabu hattuudha kan uummataaf haqaan hojjatu guyyaa mitii osoo halkan deemeeyyuu nama mitii woraabeessiyyuu hin tuqu,,
Free,Akkamiin achii bahe,,
Hate,Opdo saree amaaraa abiy nama ajesu fedhe wajin foto kaa abiyot nama harka nyachise cininu lamadhafu hintane ,,
Hate,Addunyaarraa mootummaa gowwaa akka abiy argee hin beekuu hacaluu shaneetu ajeesse yoo jettan hin galfatanii shaneen malif mililkii harreen dhufee jettee jedhanii ajeessu shaneen mililkii jalatti jechudhaa moo malii jechudhaa sobaa hamanaa gayuu enyuun sobuu barbaduu oromoo sobuu hin dadeetuu deemi jaartii tee zinashii sobii olsii fiduu gadisii fiduu aangoo irra inuumaa butaa yaa gadhee nafixanyaa abiyootii kasayee,,
Free,Harargee  Mootummaan Naannoo Oromiyaa gama hundaan qonnaan bultootaa fi horsiisee bultoota Oromiyaa fayyadamoo taasisuuf hojii abdii qabeessa tae hojjeecha jira jedhan Pireezdaantiin Mootummaa naannoo Oromiyaa obbo Shimallis Abdiisaa  Pireezedanti Shimallis kana kan jedhan Mana Barumsa Bulti Addaa Haroomaayaafi Daandii AddeelleeGuraawwaa yeroo Ijaarsa eegalsisanitti haasawaa taasisan irrattidha  Jimaan walqabatee qonnaan bulaan tajaajila ekiisteeshinifi gabaa akka argatuuf giddugaloonni Finfinnee irratti akka jiraatan hojjatama jiras jedhan  Giddugalli gabaa oomisha Jimaa godina Harargee lixaa magaalaa Baddeessaatti akka ijaaramus himaniiru  Piroojeekti ifa boruu jedhun Manneen barnoota sadarka ffaa ,,
Hate,Sinis warra haacaluu ajjeesee bakka awwaalchaa dhorkatedha Lamaan ke iyyu tokko Afuuftuu,,
Hate,Ummata Gowwaa hin tahinaa barreeffama kana kaasaa Auuzu billaahii isin Alii Suufiyyaan akka game isiniin taphataa,,
Free,"Haa ta'u malee, tarkaanfii jijjiramaa fudhatameen fakeenyaaf namoonni siyaasaa biyyoota adda addaa keessa turan biyyatti akka deebi'an ta'un alatti miidiyaaleen ugguramanii turan bilisaan akka socho'an taasifamuu yaadachiisan",,
Free,Jawween Rabbiin abdatee biyyati gale,,
Free,Korichi deeggartoota horachuun qophii fi hirmaannaa olompiikiif Birrii biiliyoona 1 ol walitti qabuuf karoorfatee hojjechaa jiraachuu preezdaantiin Koree Olompiikii Ityoophiyaa Dooktar Ashabbir Waldagiyoorgiis dubbataniiru.,,
Hate,kana dubbuchuu keerra hojii kee isaa gadhee kanarra deebiii  wanta fokkisa kana hojii goofta yesusin walbira hin qabin dhiiga dhangalaaa jiruuf itti gaafatamuuf jirtu,,
Free,dinqu dayyasa abba iyyessatti duulun jaraa karaa oromoo ittiin cabsanudha isiniif agaluu ummanni keenya tokkummadhan kaane diina  fixnee dhumuu qabna,,
Hate,artodoksiin kan amaaraati,,
Free,Waaqayyotu gummaa ilmaan oromoo yeroo tokkotti baasaa jirakanaaf uusaa,,
Free,HUBADHAA KABAJAMTOOTA MOTUMMAA NAANNOO OROMIYAA FI KABAJAMTOOTA POLISII OROMIYAA GODINA JIMMAA Aanaa shabee somboo keessatti rakkoo Bulchinsii gaarii waan jiruuf Gaariin Ajatee Ajaan gaarii ta aa jiraa soba dhugaa taasisanii dhugaa soba taasisuutti jiruu kana kan godhaaranu isinii dhagahuuyyi jedhee gonkumaa hin yaadu rakkoo Bulchinsa gaarii jennee akuma nuti iyyaa jiruu rakkoo daangaa biyyaati muudatee jiruu irraan kan ka ee sagaleen keenya dhagahamuu dhabuu danda aa silaa harkinuu dabaree wol dhiqa waan ta ee fi rakkoo kana Bulchinsa jimmaatu hikuu danda aa jennaa garuu jaraas kan muudatee jiruu rakkoo Bulchinsa gaarii ykn rakkoo malaamaltummaa nati fakkaata rakkoo naannoo keenya irraa jiruu kunis duddubaa jaraati jedhee hin yaadu qaamaan dhufaani arganii furmaata tokko ituu itti hin keniin waan galaniif akkaa qaama nageenya tokko ti murtee tokko malee galuu jaraatif baay ee gaddaa kanaaf yeroo ammaaOPDO haaraan hojjii gaarii waan hojataa jiruuf sagaleen keenya hadhagaahamuu Akuma beekamuu rakkoo yeroo ammaa kotorbaandii adda addaa bosonaa belexaa geraa ciraani guruu  dabalatee halkaan waan oliif gadii adeemaaruuf Qeerroo magaala keenya Polisii nuti kotorbaandii kana wojjiin egnuu nuuf kennaa jennaan Polisii nuuf kennaa mee ka ee nurraa fudhame sana booda qabeenya keenya Egachuun qabnaa jennee akuma eguu itti fufneen xawulaa muka duudaan wolmakamee makinaa tokko qabamee sana booda Polisii Aanaa shabee somboo abbaa qabeenya waliin kotorbaandii gaggeessa waan jiruuf ijoollee keenya dhufaani tumanii xawulaa kana dabarsuuf yaalii gaggeessanus milkaahuu fi hin dandeenya Arii sana qabeenya seera qabeessa Caatii gara dabuubii deemaaru makinaa lama magaala shabee keessatti qabanii xawulaa dabarsitan malee caatii keessan hin dabarsinuu jedhanii halkaan dullaa guranii polisii patrol tokko dhufaani ijoollee keenya sodaachisuu jalqabaa n birmannaa ummataa waan cimeef deebi aanii galanii qabeenya keenya hammaa yowanaa qaamnii nuuf barbaade hin jiruu kanaaf nuti xawulaa kotorbaandii qabnee jennaan jarrii caatii seera qabeessa Caatii makinaa lama kasaaraa taasisanii jiruu Polisii Godina jimmaa irraa dhufaanis qabeenya keenya s nuuf hin barbaanne rakkoo jiruu gutuu Godina jimmaa waan ta ee fi M N O fi POLISII OROMIYAA qabeenya keenya akkaa nuuf barbaadu magaala keenya naannoo bosonaa waan ta ee fi yeroo baay ee qaamnii addaa addaa nu keessa dabarfatee meeshaa woranaatin makinaa dhaabee namoota imala irraa jiruu qabeenya saamee lubbuus baasa ture kanaaf rakkoo akkaa kana akkaa lamata hin deebinee hatattamaan motummaan qaama nu woliin dhaabatee sakata iinsa kana gaggeessu akkaa nuuf keennu gaafannaa kan Bulchinsa shabee somboo irraa bilisa ta ee jarrii dullaa guree kotorbaandii dabarsuuf dhufeePolisii Aanaa saqqaa coqorsaa rakkoo keenya baranii nuuf birmannaa dhufaani ragaa gutuu nuuf ta uu danda uu galanii jaraas himamee hin dhumuu rakkoo Bulchinsa keenya haasa amee hin dhumuu galatoomaa,,
Hate,Taye jechii kee bareeda garuu duraa hidhamtoota hitan gadii dhiisaa Jawaar fi cufaa eegasii gadii dhiifamaa gafadhaa oromoo cufaa angoo dabarsaa keennaa oromoof,,
Hate,Mootummaa cundhuraa nafaxanyaa nutti leellistani ija keenna nu jalaa ajjeffatan,,
Free, 3 misoomsuun dandaameera,,
Hate,Kan Ajjeessuus Kan Qalabuus Jarumaa Safuu Dubbiii Jabaana Kanaa,,
Free,Ilaala yoowana Ummataa nagaa ajjeessisee ABO shanee  ajjeefnee jedha ABO isatti argituu Ummataa naga fiicisisaa jirta malee,,
Hate,halkaan abjuun kellee jawaar jawaar jecha bulti dandoftu hadhara,,
Free, Injiinar Geetaahun Makuriyaa qormaannii kun osoo hin hatamiin qindoomina qaamolee qooda fudhattootaan guutuu biyyaatti haala milkii qabuun kennamuu ibsan,,
Free, Obbo Jawaar Mohaammadiifi Baqqalaa Garbaafaa bakka jiranitti yaaluun hospitaala haaraya Mana Sirreessaa Qaallittii keessatti ijaaruudhaan walqixa qixa ulfaataadha yaaluuf hin dandeenyu jechuu abukaatoosaanii keessaa tokko BBCtti himaniiru,,
Hate,wanni suuraa jaldessaa kuni dubbiin isaallee isuma fakkaatti,,
Free,nGaruu qaamni yeroo isan kana ijaaruuf xaarii godhu keessatti albuudota muraasa qama keessatti hafaniifi vaayitaminoota hafan ijarsaa kanaf fayyadama,,
Free,Daniel kibret oromoo qofa irratii kan lolaa amantaa laabsutti qofa dubbatan sirrii miti fkn waan innii maasara moottuma keessa haasawu haasawa jibba amantii fi sabuma irra lolaa labsuudhan jibba gaggeesa jira garuu haali kun sabni itophiya guutuun irratii qabsawuudha qaba       akkasumas warrii isaaf  falmitan daniel kibret amanta kiristaana hordafa garuu amantaan kiristaana Lola labsaa hin jettu garuu daniel kibret Lola amantii warra labsuu jira keessa isa tokko kanaafu   Gocha kana gartani akk jalala labsitan ykn ammoo isa deeggaru dhan ibbida akka ofirratii hin qabsiifnen isiinin jedha   Kanuma keenyas oluma,,
Free,Halkan gaariiNagaan bulaaWaaqni tokkummaa keenya nuuf haa tiksu,,
Hate,Gaaffii Oromoon  gaafachaa ture keessa kamtu deebiee Deebiin wal  ajjeesuudhaa,,
Hate,Tishii xurii,,
Hate,hacaaluu waraana ertiraatu ajjeese ajaja Abiy Ahmed Hogganaa amaaraatiin dhugaan jiru kanuma   shaneen oromoodha oromoon oromoo ajjeesu Abiy qofa,,
Free,Ammallee itiyoothiyaan nagaa hin argatin  ilmaan oromoo  lafa iraa fixanii jirtuu bara ithiyoophiyaan mataadhaan haa dhaabbattu ,,
Hate,Yaa rabii atti kaan amaantimaa kamirraatiyuu dabaa yaadduu nuraati hin dhisinni yoo dhuggaa dubaachuu taee umaani kiristaanaa fi musilimaa barootaa dheraaf walinni jiraachaa turee kan suumisaa nuu giddutii faccasuuf yadduu atii nuraa qabii yaa Allah obbolewaan kenyaa amaantin walii qonnuu yomiyyuu wal birraa dhabaanaa yoos gadheen nuu sodaati isinnisii gamaa keessaanin wal ijaraa isaa durrii callati nus akkanumaa inshahallah hin hinjjifaannaa rabii jallaalaasaa gidduu keenyaa haa kauu ilmaan Oromoo kabaaf kibbaa musilimaaf kiristaanaa,,
Hate,Ammahoo dararaan oromoorra gahaa jiru kan tplf hin caalllee nama manaa baasanii hoo  ajjeessa jiru miilla cituu qofaa gubaa hoo jiruu kan ammaa kana maaltu tplf gadi godhe maaf gafachuu dadhabdan walgaii taayyeetiin hoogganamu ajaaiba garuu Oromoof Waaqayyo jira,,
Hate,Jijjiiramni abiy nuuf fide ajjeesuu saamuu gudeeduu buqqaasuu caccabsuu balleessuu fi kkfn qofaaabiyii mililk farsuu haylaa silasee farsuu sidaa amaaraa ijaruudhahogantootaan oromoo akkaa hin hidhamee tasisuu partilee siyaasa baleessuuangoo ISAF filaanoo dheerasuudhasababnii hatii isaa nugusaa ta,,
Free,Loltuu Wattaadarri Ortodoksii kan akka isa kaanii Gajara,,
Free,kun dubbiin beekkamadha dafanii deebiisaa itti Kennuu  qaban dubbii kanatti yaa ustaaz  majlisii naannottifi kan fedraala dafanii mootummaa kana gaafachuu qaban,,
Free,As utaaltanii achi utaaltanii namni tokko hin hafuKan murteessu ummata,,
Free,Generaltichi waraanaf malee sisaaya hoganuuf waan tauu nati hn fakkaanedubbii keessati waan ummata oromoo burjaajjesuufi tokkummaa oromoo diigu qofa hasawe kuni alagaaf guddoo hamilee horeeummani oromoo waligaluu,,
Free, Jawar Baqqalaa dabalatee hidhamtoota siyaasaa keenya irratti hara murtii duaan adda hin jirre murteessaniiru,,
Hate,Yoo dubbii Walaaltee Namtitti  Tabtabaa Araarsaa  Mardaasaa jettaan kuni Sammuu ishee keessatti Yeroo Hundaa Maqaa Shanee fi wayyaanee qofaatu Sammuu keessatti Biqilee Laata albatii Wayii kun Maqaa Komishinii polisii Oromiyaa jedhuun Oso daldaluu Dhiistee isheefi wayyaa Harkaa Bitaa fi Mirgaa Nafxeenyaatiif hojjetti Malee Dhugumaatti Oromiyaaf Dhaabbatee Miti Oromoo Lafaa kanarra jiruu hundaan Shanee shanee Osoo jechaa Ooluu Baatee Gaariidha Manjuufe Wayii Sammuu Kosii Baatee Midiyaa OBN ti As baatee Nuti hin Albain jedhani ,,
Hate,dhippoo wayii dhala gowwaa,,
Free, Raabbi nu haa nassaru,,
Hate,seerri hin jiru oromoon dhumaa jira mootumma amaaraatin yoomilee seeri hin jiraatu dhumuu ykn amaara lafarraa fixuu,,
Free,Ati kaa malii  Tokkoo sihii mitti Kaa nafxanyaa malee jedhee nurraatti lafa dhitaa bahe hara sitti mulaate baga jeteen dhugaadha jarri tokko ati akka yaadaa keetitti abiyiin oromoo goote nu gowoomsuu barbaade hin gowoomnu jarii lamanuu tokkoo waan barbaade Waal haa gootu nuti oromoon keessaa hin hiru,,
Free, Sirbaa fi geerarsi seenaa kaasa seenaa hima,,
Hate,Dhuguma otoo nama taate du'a Amaaraa Gullisoof boossee du'a Oromoo Matakkal irratti hin kolfitu turte ilma diqaalaa kan sammuun furrii waan taateef maleeHamman gubadhe gubadhu dhiiga lammiikoo akka bishaaniitti dhugdee,,
Free,Dhaabbilee Imbaasiichaaf deebii kennan keessaa Gurmuun Abukaattota hidhamtoota siyaasaa Oromoo tokko yoo tau dubbiin Ambaasaddar Fitsum Araggaa dogoggoraa kan taeefi dhugaarraa kan fagaatedha jechuun hidhamtoonni siyaasaa Oromoo ammallee halkan 26ffaaf nyaata lagatanii jiraachuu isaanii hima,,
Free,"Kanamalees paartii keessattis taÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢ee, kan mootummaa keessatti hunduu akkaataa baayyina ummata isaatiin akka hirmaachuu qabus murteessera jedhan",,
Hate,Isinis hattuuf gantuu caasaa keessan keessaa qulqulleessaa wayyaanefi abukaaton ishii dhihootti awaallamu injifannoon uummata oromoof,,
Hate,ofumaa of muudan malee ummanni hin filanne ammas dhiigaan buusnee nama keenya bakka ni buufanna,,
Free, Akkuma reefuu jenne ajandaa ittiin hiriiricha gufachiisan barbaadanii dhabanii daandii qulqulleessuu kan jedhuun dhufani,,
Free,Nyaata aadaa amma hojjechaa jiran kanaan dabalatatti nyaata aadaa Oromoota godina adda addaa jiranii kan hundaatuu bakka tokkotti akka argatanitti bal'isanii hojjechuuf karoora qabaachuus himu.,,
Hate,Boolla awwaalchasaa haa ta'u,,
Free,Akka gabaasa OBN tti hayyoonnii kunneen qorannoo gaggeessaa turaniin jarraa kuma 1 fi dhibba 6 dura dhalli nama paarkii biyyaalessa gaarreewwan Baalee keessa jiraacha akka turan mirkaneessaniiru,,
Hate,Kalasi OMN dhufe ijolee kijiba kesani ama dhagnaa,,
Free, Pirezedantii Taanzaaniyaa Joon Magufuliin Covid qabamee hospitaala Keeniyaatti yaalama kan jiru yoo taÃ¢â‚¬â„¢u haala lubbusaaf yaaddessu keessa jiraachuu hogganaan Paartii mormituu biyyattii Tundu Lissu BBCtti hime,,
Hate,Motumaa saree kan mal goana garan kenyaa nu gubatee daima waga sadi ajesa kon ufuu dalnsuun Rabiii siraa haa jiratuu Abiyot kasee Down Abiy Ahmada Abiy must goo kilng Of ormo popela,,
Hate,namoota sammuu hin qabne kan nama qaluutti amanan rabbumti jara haa balleessu malee kun sanyii bineensaa ti ummanni amaaraa,,
Hate,Taxi amaaraaf galchaa,,
Free, Kan biraa hafnaan OPDOdhumti maqaa Oromoo dhahattu kunoo daaraa bubbeen fuudhe tahuuf deemti,,
Hate, Yoo paartii bilginnaa fi miidiyaa gaafa intalli qomaaxan sun Maangaa jettee uummata Oromoo arrabsite tamsaasaa ture sanirratti tarkaanfin fuudhatame,,
Free,Godina Jimmaatti Qamadii Jallisiin misoome sasaabuun eegalame\nFinfinnee Bitootessa 2 2013 (FBC) Ã¢â‚¬â€œ Godina Jimmaatti Qamadii Jallisiin misoome sasaabuun eegalameera,,
Free,FBC Afaan Oromoo miidiyaan ummata akkana kunoo kan hunda ija tokkon ilaalun gabaasu,,
Hate,Kun karoora Dr Abiy osoo hin taane karoora kee waan ta'eef dhiisi qurcii,,
Hate,PP hacalu ajjeesaa Galaana nyachufii ilmaan nafxanyaa milkiin bineessa,,
